ResourceID,inventory,start_date,end_date,relation_type,notes
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,5030bc64-0600-49d5-83eb-ce853057541b,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,556b940f-7334-45cf-b37f-328a03dae659,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,567f9edb-eeb1-4df9-8c9d-984cae126dac,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,591d9c92-055d-4c5d-ab8d-30621aa271ec,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,5f155117-90e7-4f58-b63f-84631d8a1a77,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,69b9cdac-c602-46da-9bf8-db5a8d34c084,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,6b2e1469-1aec-4b84-8f0d-8deb65f2bf58,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,7192594f-10b5-411a-8a23-f6b43ad1543d,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,7630bebb-3b38-4c37-bd59-099b9cb84532,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,7956fa75-451b-4fad-8319-f3aa7454ee3a,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,7a704c76-85e4-4505-821b-9d1394330c46,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,7c59d74a-6bea-45e6-a966-309848f095bf,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,883ea880-5152-4a35-9993-cbd4b019df3e,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,88f1cbcd-9f1e-43a5-9bfd-12e40e6b9263,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,8b4f5e62-4c3c-4711-bec7-034010661908,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,90ffdf00-ac85-4de7-8f69-35bfe4e6784a,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,964cd35f-341b-4e36-b41e-8670531ca0e2,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,9e6881e0-37f9-4173-83c9-80f721eba54c,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,a48a8bb8-d1a2-47dd-9f45-43fbcaf83548,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,a6832e70-2e96-4af9-a540-7b97e930986c,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,bedad3e5-a7c5-4bea-acd1-0d8adbabf146,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,bfa734d8-a739-467f-9b72-b3a6cf69b112,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,c68ac24e-db4c-4285-ad25-c3bfdaea4127,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,c7897b93-7e8a-406e-a2f6-a76bcce85786,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,ccd8b11a-cc71-4479-a95a-33c20ac8e2cc,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,cee1c40f-9b69-4be5-b5ff-9c94d27503a1,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,d1b951b2-d34f-484a-9a13-4d786c245f02,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,d47ab6f2-5b5d-4966-b2cd-5a834265fe7b,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,d7ace92e-df06-4d45-b2a8-c4193d300ce9,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
